Nom commun,Nom scientifique,Famille,Partie utilisée,Usage
Galanga (grand).,Alpinia galanga (L.) Willd.,Zingiberaceae,Rhizome.,En l’état En poudre
Galanga (petit).,Alpinia officinarum Hance.,Zingiberaceae,Rhizome.,En l’état En poudre
Genévrier. Genièvre.,Juniperus communis L.,Cupressaceae,Cône femelle dit baie de genièvre ».,En l’état
Gentiane. Gentiane jaune.,Gentiana lutea L.,Gentianaceae,Partie souterraine.,En l’état En poudre
Gingembre.,Zingiber officinale Roscoe.,Zingiberaceae,Rhizome.,En l’état En poudre
Ginseng. Panax de Chine.,Panax ginseng C.A. Meyer (= Aralia quinquefolia Decne. et Planch.).,Araliaceae,Partie souterraine.,En l’état En poudre Extrait sec aqueux
Giroflier.,Syzygium aromaticum (L.) Merr. et Perry (= Eugenia caryophyllus (Sprengel) Bull. et Harr.).,Myrtaceae,Bouton floral = clou de girofle.,En l’état En poudre
Gléditschia. Févier.,"Gleditschia triacanthos L., G. ferox Desf.",Fabaceae,Graine.,En l’état En poudre Extrait sec aqueux
Gomme adragante.,Voir : Astragale à gomme.,,,
Gomme arabique.,Voir : Acacia à gomme.,,,
Gomme caroube.,Voir : Caroubier.,,,
Gomme de sterculia.,Voir : Sterculia.,,,
Gomme guar.,Voir : Cyamopsis.,,,
Gomme Karaya.,Voir : Sterculia.,,,
Gomme M’Bep.,Voir : Sterculia.,,,
Griottier. Cerisier griottier. Queue de cerise.,"Prunus cerasus L., P. avium (L.) L.",Rosaceae,Pédoncule du fruit = queue de cerise.,En l’état
Groseiller noir.,Voir : Cassissier.,,,
Guar.,Voir : Cyamopsis.,,,
Guarana.,Voir : Paullinia.,,,
Guimauve.,Althaea officinalis L.,Malvaceae,"Feuille, fleur, racine.",En l’état En poudre (racine)
Hibiscus.,Voir : Karkadé.,,,
Houblon.,Humulus lupulus L.,Cannabaceae,Inflorescence femelle dite cône de houblon ».,En l’état
Jujubier.,Ziziphus jujuba Mill. (= Z. sativa Gaertn.) (= Z. vulgaris Lam.) (= Rhamnus zizyphus L.).,Rhamnaceae,Fruit privé de graines.,En l’état
Karkadé. Oseille de Guinée. Hibiscus.,Hibiscus sabdariffa L.,Malvaceae,Calice et calicule.,En l’état
Kolatier. Colatier. Kola.,"Cola acuminata (P. Beauv.) Schott et Endl. (= Sterculia acuminata P. Beauv.), C. nitida (Vent.) Schott et Endl. (= C. vera K. Schum.) et variétés.",Sterculiaceae,Amande dite noix de kola ».,En l’état En poudre
Lamier blanc. Ortie blanche.,Lamium album L.,Lamiaceae,"Corolle mondée, sommité fleurie.",En l’état
Laminaire.,"Laminaria digitata J.P. Lamour., L. hyperborea (Gunnerus) Foslie, L. cloustonii Le Jol.",Laminariaceae,"Stipe, thalle.",En l’état Extrait sec aqueux (thalle)
Laurier commun. Laurier sauce.,Laurus nobilis L.,Lauraceae,Feuille.,En l’état En poudre
Lavande. Lavande vraie.,Lavandula angustifolia Mill. (= L. vera DC.).,Lamiaceae,"Fleur, sommité fleurie.",En l’état
Lavande aspic.,Voir : Aspic.,,,
Lavande stoechas.,Lavandula stoechas L.,Lamiaceae,"Fleur, sommité fleurie.",En l’état
Lavande vraie.,Voir : Lavande.,,,
Lavandin Grosso ».,Lavandula × intermedia Emeric ex Loisel.,Lamiaceae,"Fleur, sommité fleurie.",En l’état
Lemongrass de l’Amérique centrale.,Cymbopogon citratus (DC.) Stapf.,Poaceae,Feuille.,En l’état En poudre
Lemongrass de l’Inde.,Cymbopogon flexuosus (Nees ex Steud.) J.F. Wats.,Poaceae,Feuille.,En l’état En poudre
Lichen d’Islande.,Cetraria islandica (L.) Ach. sensu latiore.,Parmeliaceae,Thalle.,En l’état
Lierre terrestre.,Glechoma hederacea L. (= Nepeta glechoma Benth.).,Lamiaceae,Partie aérienne fleurie.,En l’état
Lin.,Linum usitatissimum L.,Linaceae,Graine.,En l’état En poudre
Livèche.,Levisticum officinale Koch.,Apiaceae,"Feuille, fruit, partie souterraine.",En l’état En poudre
